Time [s],Channel 0,Channel 1,Channel 2
0.000000000,1,1,1
0.005205000,1,1,0
0.005206000,1,0,0
0.005207250,1,1,0
0.005213000,1,0,0
0.005213750,0,0,0
0.005214250,0,1,0
0.005220250,0,0,0
0.005221500,0,1,0
0.005239500,0,0,0
0.005240500,0,1,0
0.005246500,0,0,0
0.005247750,0,1,0
0.005253500,0,0,0
0.005254750,0,1,0
0.005260750,0,0,0
0.005261500,1,0,0
0.005262000,1,1,0
0.005267750,1,0,0
0.005269000,1,1,0
0.005276750,1,0,0
0.005277250,0,0,0
0.005278000,0,1,0
0.005283750,0,0,0
0.005285000,0,1,0
0.005291000,0,0,0
0.005292250,0,1,0
0.005298000,0,0,0
0.005299250,0,1,0
0.005305250,0,0,0
0.005306250,0,1,0
0.005312250,0,0,0
0.005313500,0,1,0
0.005319250,0,0,0
0.005320500,0,1,0
0.005326500,0,0,0
0.005327750,0,1,0
0.005334000,1,1,0
0.005335000,1,1,1
0.011210500,1,1,0
0.011211500,1,0,0
0.011212750,1,1,0
0.011218750,1,0,0
0.011220000,1,1,0
0.011225750,1,0,0
0.011226500,0,0,0
0.011227000,0,1,0
0.011245000,0,0,0
0.011245750,1,0,0
0.011246250,1,1,0
0.011252250,1,0,0
0.011252750,0,0,0
0.011253500,0,1,0
0.011259250,0,0,0
0.011260500,0,1,0
0.011266500,0,0,0
0.011267750,0,1,0
0.011273500,0,0,0
0.011274250,1,0,0
0.011274750,1,1,0
0.011282000,1,1,1
0.018216750,1,1,0
0.018217750,1,0,0
0.018218250,0,0,0
0.018218750,0,1,0
0.018224750,0,0,0
0.018225500,1,0,0
0.018226000,1,1,0
0.018231750,1,0,0
0.018232500,0,0,0
0.018233000,0,1,0
0.018251250,0,0,0
0.018252500,0,1,0
0.018258250,0,0,0
0.018259500,0,1,0
0.018265250,0,0,0
0.018266500,0,1,0
0.018272500,0,0,0
0.018273250,1,0,0
0.018273750,1,1,0
0.018279500,1,0,0
0.018280250,0,0,0
0.018280750,0,1,0
0.018287250,1,1,0
0.018305250,0,0,0
0.018311250,0,1,0
0.018317500,0,0,0
0.018323500,0,1,0
0.018330000,0,0,0
0.018336000,0,1,0
0.018342250,0,0,0
0.018348250,0,1,0
0.018354750,0,0,0
0.018360750,0,1,0
0.018367000,0,0,0
0.018373000,0,1,0
0.018379500,0,0,0
0.018385500,0,1,0
0.018391750,0,0,0
0.018397750,0,1,0
0.018405500,0,0,0
0.018411500,0,1,0
0.018418000,0,0,0
0.018423750,0,1,0
0.018430250,0,0,0
0.018436250,0,1,0
0.018442750,0,0,0
0.018448500,0,1,0
0.018455000,0,0,0
0.018461000,0,1,0
0.018467500,0,0,0
0.018473500,0,1,0
0.018479750,0,0,0
0.018485750,0,1,0
0.018492250,0,0,0
0.018498250,0,1,0
0.018505750,0,0,0
0.018511750,0,1,0
0.018518250,0,0,0
0.018524250,0,1,0
0.018530750,0,0,0
0.018536500,0,1,0
0.018543000,0,0,0
0.018549000,0,1,0
0.018555500,0,0,0
0.018561500,0,1,0
0.018567750,0,0,0
0.018573750,0,1,0
0.018580250,0,0,0
0.018586250,0,1,0
0.018592500,0,0,0
0.018598500,0,1,0
0.018606250,0,0,0
0.018612250,0,1,0
0.018618750,0,0,0
0.018624500,0,1,0
0.018631000,0,0,0
0.018637000,0,1,0
0.018643500,0,0,0
0.018649250,0,1,0
0.018655750,0,0,0
0.018661750,0,1,0
0.018668250,0,0,0
0.018674250,0,1,0
0.018680500,0,0,0
0.018686500,0,1,0
0.018693000,0,0,0
0.018699000,0,1,0
0.018706500,0,0,0
0.018712500,0,1,0
0.018719000,0,0,0
0.018725000,0,1,0
0.018731500,0,0,0
0.018737250,0,1,0
0.018743750,0,0,0
0.018749750,0,1,0
0.018756250,0,0,0
0.018762250,0,1,0
0.018768500,0,0,0
0.018774500,0,1,0
0.018781000,0,0,0
0.018787000,0,1,0
0.018793250,0,0,0
0.018799250,0,1,0
0.018806500,0,1,1
0.018806750,1,1,1
0.025223250,1,1,0
0.025224000,1,0,0
0.025225250,1,1,0
0.025231250,1,0,0
0.025232500,1,1,0
0.025238250,1,0,0
0.025239000,0,0,0
0.025239500,0,1,0
0.025257750,0,0,0
0.025259000,0,1,0
0.025264750,0,0,0
0.025266000,0,1,0
