Time [s],Channel 0,Channel 1,Channel 2
0.000000000,1,1,1
0.003789500,1,1,0
0.003790500,1,0,0
0.003791750,1,1,0
0.003797750,1,0,0
0.003799000,1,1,0
0.003804750,1,0,0
0.003805500,0,0,0
0.003806000,0,1,0
0.003824500,0,0,0
0.003825000,1,0,0
0.003825750,1,1,0
0.003831500,1,0,0
0.003832250,0,0,0
0.003832750,0,1,0
0.003838750,0,0,0
0.003840000,0,1,0
0.003845750,0,0,0
0.003847000,0,1,0
0.003853000,0,0,0
0.003853500,1,0,0
0.003854250,1,1,0
0.003861500,1,1,1
0.010795500,1,1,0
0.010796500,1,0,0
0.010797000,0,0,0
0.010797500,0,1,0
0.010803500,0,0,0
0.010804250,1,0,0
0.010804750,1,1,0
0.010810750,1,0,0
0.010811250,0,0,0
0.010811750,0,1,0
0.010830250,0,0,0
0.010831500,0,1,0
0.010837250,0,0,0
0.010838500,0,1,0
0.010844500,0,0,0
0.010845750,0,1,0
0.010851500,0,0,0
0.010852250,1,0,0
0.010852750,1,1,0
0.010858750,1,0,0
0.010859250,0,0,0
0.010860000,0,1,0
0.010866250,1,1,0
0.010884250,0,0,0
0.010890250,0,1,0
0.010896500,0,0,0
0.010902500,0,1,0
0.010909000,0,0,0
0.010915000,0,1,0
0.010921500,0,0,0
0.010927250,0,1,0
0.010933750,0,0,0
0.010939750,0,1,0
0.010946250,0,0,0
0.010952000,0,1,0
0.010958500,0,0,0
0.010964500,0,1,0
0.010971000,0,0,0
0.010977000,0,1,0
0.010984500,0,0,0
0.010990500,0,1,0
0.010997000,0,0,0
0.011003000,0,1,0
0.011009250,0,0,0
0.011015250,0,1,0
0.011021750,0,0,0
0.011027750,0,1,0
0.011034250,0,0,0
0.011040000,0,1,0
0.011046500,0,0,0
0.011052500,0,1,0
0.011059000,0,0,0
0.011064750,0,1,0
0.011071250,0,0,0
0.011077250,0,1,0
0.011085000,0,0,0
0.011091000,0,1,0
0.011097250,0,0,0
0.011103250,0,1,0
0.011109750,0,0,0
0.011115750,0,1,0
0.011122000,0,0,0
0.011128000,0,1,0
0.011134500,0,0,0
0.011140500,0,1,0
0.011146750,0,0,0
0.011152750,0,1,0
0.011159250,0,0,0
0.011165250,0,1,0
0.011171500,0,0,0
0.011177500,0,1,0
0.011185250,0,0,0
0.011185500,1,0,0
0.011191250,1,1,0
0.011197750,0,0,0
0.011203750,0,1,0
0.011210000,0,0,0
0.011216000,0,1,0
0.011222500,0,0,0
0.011228500,0,1,0
